City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,port alfred,-33.5906,26.891,13.99,95,3,1.79,ZA,1670285754
84,ous,60.9058,61.5186,-15.62,98,94,2.28,RU,1670285755
85,yokadouma,3.5167,15.05,22.08,77,22,0.51,CM,1670285755
86,lompoc,34.6391,-120.4579,16.08,76,0,4.63,US,1670285755
87,biak,-0.9131,122.8766,26.12,79,100,3.34,ID,1670285756
88,dikson,73.5069,80.5464,-5.07,96,100,5.75,RU,1670285756
89,marawi,7.9986,124.2928,23.15,81,93,1.02,PH,1670285756
90,stonewall,50.1344,-97.3268,-21.18,95,17,0.73,CA,1670285743
91,banka,24.8833,86.9167,13.32,50,0,3.09,IN,1670285757
92,bluff,-46.6,168.3333,10.45,54,72,2.82,NZ,1670285245
93,busselton,-33.65,115.3333,17.61,51,2,6.37,AU,1670285757
94,thompson,55.7435,-97.8558,-30.91,69,0,3.09,CA,1670285758
95,nizwa,22.9333,57.5333,17.83,67,0,0.61,OM,1670285758
96,port elizabeth,-33.918,25.5701,15.17,91,20,0.45,ZA,1670285758
97,ak-dovurak,51.1833,90.6,-29.43,96,36,0.08,RU,1670285759
98,sangar,63.9242,127.4739,-30.13,94,100,2.19,RU,1670285759
99,talnakh,69.4865,88.3972,-3.77,96,100,4.76,RU,1670285759
100,susanville,40.4163,-120.653,2.12,93,40,3.58,US,1670285760
101,mar del plata,-38.0023,-57.5575,24.01,84,0,8.49,AR,1670285760
102,kavieng,-2.5744,150.7967,28.47,70,100,1.27,PG,1670285760
103,hobart,-42.8794,147.3294,14.59,61,75,4.63,AU,1670285705
104,georgetown,5.4112,100.3354,27.35,87,20,0.45,MY,1670285714
105,berlevag,70.8578,29.0864,4.0,86,100,7.72,NO,1670285761
106,antofagasta,-23.65,-70.4,17.6,79,16,1.68,CL,1670285577
107,zabaykalsk,49.6333,117.3167,-13.31,84,100,8.46,RU,1670285762
108,nanortalik,60.1432,-45.2371,0.7,79,96,6.86,GL,1670285763
109,saskylakh,71.9167,114.0833,-24.17,92,100,10.17,RU,1670285765
110,rantauprapat,2.1,99.8333,22.42,92,100,0.59,ID,1670285769
111,matara,5.9485,80.5353,23.53,88,100,1.36,LK,1670285770
112,punta arenas,-53.15,-70.9167,7.06,53,40,5.66,CL,1670285607
113,chiredzi,-21.05,31.6667,23.78,71,29,2.74,ZW,1670285772
114,skibbereen,51.55,-9.2667,8.39,83,100,8.6,IE,1670285776
